GameName,"Noughts & Crosses"
Play,"Play"
Stats,"Stats"
Theme,"Theme"
Start,"Start"
CancelStart,"Cancel"
ExitGame,"Exit Game"
ExitGameMessage,"Are you sure you want to exit?"
CancelExit,"Cancel"
ConfirmExit,"Exit"
Settings,"Settings"
Language,"Language"
Back,"Back"
Music,"Background Music"
SFX,"Sound effects"
TotalGames,"Games Played:"
Draws,"Draws:"
Player1Wins,"Player 1 wins:"
Player2Wins,"Player 2 wins:"
AveDuration,"Avg Duration:"
Player1,"Player 1"
Player2,"Player 2"
MatchPlayer1,"Player 1 Wins!"
MatchPlayer2,"Player 2 Wins!"
MatchDraw,"It's a Draw!"
MatchTime,"Time"
