GameName,"Iks Oks"
Play,"Igraj"
Stats,"Statistike"
Theme,"Tema"
Start,"Započni"
CancelStart,"Nazad"
ExitGame,"Napusti Igru"
ExitGameMessage,"Da li želite da izađete?"
CancelExit,"Odkažite"
ConfirmExit,"Izađite"
Settings,"Podešavanja"
Language,"Jezik"
Back,"Nazad"
Music,"Pozadinska muzika"
SFX,"Zvučni efekti"
TotalGames,"Odigrane igre:"
Draws,"Nerešeno:"
Player1Wins,"Pobeda igrač 1:"
Player2Wins,"Pobeda igrač 2:"
AveDuration,"Prosečno trajanje:"
Player1,"Igrač 1"
Player2,"Igrač 2"
MatchPlayer1,"Igrač 1 Pobedio!"
MatchPlayer2,"Igrač 2 Pobedio!"
MatchDraw,"Nerešeno!"
MatchTime,"Trajanje"
